:VID(string),character_pinyin.tone:int
a1,1
bi2,2
di4,4
yu4,4
e1,1
dang3,3
bi3,3
zhou1,1
e1,1
dang3,3
xiang1,1
wei2,2
a1,1
gou3,3
a1,1
mao1,1
a1,1
gu1,1
a1,1
weng1,1
a1,1
gu1,1
a1,1
weng1,1
a1,1
jiao1,1
jin1,1
wu1,1
a1,1
mao1,1
a1,1
gou3,3
e1,1
mi2,2
tuo2,2
fo2,2
a1,1
pi2,2
di4,4
yu4,4
a1,1
ping2,2
jue2,2
dao3,3
e1,1
qi2,2
suo3,3
hao4,4
e1,1
shi2,2
qu1,1
su2,2
e1,1
shi4,4
dao4,4
ming2,2
e1,1
shi4,4
mei4,4
su2,2
e1,1
shi4,4
qu3,3
rong2,2
e1,1
yi4,4
qu3,3
rong2,2
e1,1
yu2,2
chan3,3
mei4,4
e1,1
yu2,2
feng2,2
ying2,2
e1,1
yu2,2
feng4,4
cheng2,2
e1,1
yu2,2
qu3,3
rong2,2
ai1,1
ai1,1
fu4,4
mu3,3
ai1,1
ai1,1
yu4,4
jue2,2
ai1,1
bing1,1
bi4,4
sheng4,4
ai1,1
er2,2
bu4,4
shang1,1
ai1,1
gan3,3
tian1,1
di4,4
ai1,1
gan3,3
wan2,2
yan4,4
ai1,1
gan3,3
zhong1,1
nian2,2
ai1,1
gao4,4
bin1,1
fu2,2
ai1,1
hong2,2
bian4,4
di4,4
ai1,1
hong2,2
bian4,4
ye3,3
ai1,1
hui3,3
gu3,3
li4,4
ai1,1
hui3,3
ji1,1
li4,4
ai1,1
li2,2
zheng1,1
shi2,2
ai1,1
sheng1,1
tan4,4
qi4,4
ai1,1
si1,1
hao2,2
zhu2,2
ai1,1
si1,1
ru2,2
chao2,2
ai1,1
tian1,1
jiao4,4
di4,4
ai1,1
tong4,4
yu4,4
jue2,2
ai1,1
sheng1,1
tan4,4
qi4,4
ai2,2
dong4,4
shou4,4
e4,4
ai1,1
feng1,1
ji1,1
feng4,4
ai1,1
ji,0
ai1,1
hu4,4
ai1,1
jian1,1
bing4,4
zu2,2
ai1,1
jian1,1
ca1,1
bang3,3
ai1,1
jian1,1
ca1,1
bei4,4
ai1,1
jian1,1
ca1,1
lian3,3
ai1,1
jian1,1
da1,1
bei4,4
ai1,1
jian1,1
die2,2
bei4,4
ai1,1
jian1,1
die2,2
bei4,4
ai1,1
men2,2
ai1,1
hu4,4
ai1,1
men2,2
zhu2,2
hu4,4
ai1,1
san1,1
ding3,3
wu3,3
ai1,1
shan1,1
se4,4
hai3,3
ai1,1
feng1,1
qi1,1
feng4,4
ai1,1
san1,1
ding3,3
si4,4
ai1,1
san1,1
ding3,3
wu3,3
ai4,4
sheng1,1
tan4,4
qi4,4
ai3,3
ren2,2
guan1,1
chang2,2
ai3,3
ren2,2
kan4,4
chang3,3
ai3,3
ren2,2
kan4,4
xi4,4
ai3,3
zi3,3
guan1,1
chang2,2
ai3,3
zi3,3
kan4,4
xi4,4
ai3,3
ran2,2
ke3,3
qin1,1
ai3,3
ran2,2
ren2,2
zhe3,3
ai4,4
bie2,2
li2,2
ku3,3
ai4,4
bu4,4
ren3,3
shi4,4
ai4,4
bu4,4
shi4,4
shou3,3
ai4,4
cai2,2
ru2,2
ke3,3
ai4,4
cai2,2
ru2,2
ming4,4
ai4,4
cai2,2
ruo4,4
ke3,3
ai4,4
cai2,2
ru2,2
ming4,4
ai4,4
fu4,4
xian2,2
pin2,2
ai4,4
guo2,2
ru2,2
jia1,1
ai4,4
he4,4
shi1,1
zhong4,4
ai4,4
li3,3
cun2,2
yang2,2
ai4,4
mao2,2
fan3,3
qiu2,2
ai4,4
min2,2
ru2,2
zi3,3
ai4,4
mo4,4
neng2,2
zhu4,4
ai4,4
mo4,4
zhi1,1
zhu4,4
ai4,4
qian2,2
ru2,2
ming4,4
ai4,4
ren2,2
hao4,4
shi4,4
ai4,4
ren2,2
li4,4
wu4,4
ai4,4
ren2,2
yi3,3
de2,2
ai4,4
ri4,4
xi1,1
li4,4
ai4,4
ru2,2
ji3,3
chu1,1
ai4,4
ru2,2
zhen1,1
bao3,3
ai4,4
sheng1,1
wu4,4
si3,3
ai4,4
su4,4
hao4,4
gu3,3
ai4,4
wu1,1
ji2,2
wu1,1
ai4,4
xi1,1
yu3,3
mao2,2
ai4,4
zeng1,1
fen1,1
ming2,2
ai4,4
kou3,3
shi2,2
xiu1,1
ai4,4
nan2,2
cong2,2
ming4,4
ai4,4
shou3,3
ai4,4
jiao3,3
ai4,4
zu2,2
ai4,4
shou3,3
ai4,4
mei4,4
bu4,4
ming2,2
ai4,4
mei4,4
zhi1,1
qing2,2
an1,1
an1,1
wen3,3
wen3,3
an1,1
bang1,1
ding4,4
guo2,2
an1,1
bang1,1
zhi4,4
guo2,2
an1,1
bu4,4
wang4,4
wei1,1
an1,1
bu4,4
dang4,4
che1,1
an1,1
chang2,2
chu3,3
shun4,4
an1,1
chang2,2
lv3,3
shun4,4
an1,1
chang2,2
shou3,3
fen4,4
an1,1
chang2,2
shou3,3
gu4,4
an1,1
chang2,2
xi2,2
gu4,4
an1,1
che1,1
pu2,2
lun2,2
an1,1
du3,3
le4,4
ye4,4
an1,1
du3,3
ru2,2
gu4,4
an1,1
fen4,4
shou3,3
ji3,3
an1,1
fen3,3
shou3,3
ji3,3
an1,1
fen4,4
zhi1,1
zu2,2
an1,1
fen4,4
shou3,3
ji3,3
an1,1
fu4,4
xu4,4
pin2,2
an1,1
fu4,4
xu4,4
qiong2,2
an1,1
fu4,4
zun1,1
rong2,2
an1,1
gu4,4
zhong4,4
qian1,1
an1,1
guo2,2
fu4,4
min2,2
an1,1
guo2,2
ning2,2
jia1,1
an1,1
hun2,2
ding4,4
po4,4
an1,1
jia1,1
le4,4
ye4,4
an1,1
jia1,1
li4,4
ye4,4
an1,1
jia1,1
luo4,4
hu4,4
an1,1
ju1,1
le4,4
ye4,4
an1,1
lao3,3
huai2,2
shao4,4
an1,1
liang2,2
chu2,2
bao4,4
an1,1
mei2,2
dai4,4
yan3,3
an1,1
min2,2
gao4,4
shi4,4
an1,1
nei4,4
rang3,3
wai4,4
an1,1
pin2,2
le4,4
dao4,4
an1,1
pin2,2
le4,4
jian4,4
an1,1
pin2,2
shou3,3
dao4,4
an1,1
ran2,2
ru2,2
gu4,4
an1,1
ran2,2
wu2,2
shi4,4
an1,1
ran2,2
wu2,2
yang4,4
an1,1
ren3,3
wu2,2
qin1,1
an1,1
ru2,2
pan2,2
shi2,2
an1,1
ru2,2
pan2,2
shi2,2
an1,1
ru2,2
tai4,4
shan1,1
an1,1
ru2,2
tai4,4
shan1,1
an1,1
ruo4,4
tai4,4
shan1,1
an1,1
shen1,1
le4,4
ye4,4
an1,1
shen1,1
li4,4
ming4,4
an1,1
shen1,1
wei2,2
le4,4
an1,1
shen1,1
zhi1,1
chu4,4
an1,1
shen1,1
zhi1,1
di4,4
an1,1
shen2,2
ding4,4
po4,4
an1,1
sheng1,1
fu2,2
ye4,4
an1,1
sheng1,1
le4,4
ye4,4
an1,1
shi2,2
chu3,3
shun4,4
an1,1
shi4,4
li4,4
chu4,4
an1,1
shi4,4
ru2,2
chang2,2
an1,1
tu3,3
le4,4
ye4,4
an1,1
tu3,3
zhong4,4
jiu4,4
an1,1
tu3,3
zhong4,4
ju1,1
an1,1
tu3,3
zhong4,4
qian1,1
an1,1
wei1,1
xiang1,1
yi4,4
an1,1
wei1,1
yu3,3
gong4,4
an1,1
xian2,2
zi4,4
de2,2
an1,1
xian2,2
zi4,4
zai4,4
an1,1
xin1,1
ding4,4
zhi4,4
an1,1
xin1,1
le4,4
ye4,4
an1,1
xin1,1
le4,4
yi4,4
an1,1
xin1,1
luo4,4
yi4,4
an1,1
ying2,2
xia4,4
zhai4,4
an1,1
ying2,2
zha1,1
zhai4,4
an1,1
yu2,2
pan2,2
shi2,2
an1,1
yu2,2
xian4,4
zhuang4,4
an1,1
yu4,4
yi1,1
yu4,4
an1,1
zhai2,2
zheng4,4
lu4,4
an1,1
zhen3,3
er2,2
wo4,4
an1,1
zhi1,1
ruo4,4
ming4,4
an1,1
zhi1,1
ruo4,4
su4,4
an1,1
zuo4,4
dai4,4
bi4,4
an1,1
ma3,3
lao2,2
dun4,4
an1,1
ma3,3
lao2,2
juan4,4
an1,1
ma3,3
lao2,2
kun4,4
an1,1
ma3,3
lao2,2
shen2,2
an1,1
ma3,3
zhi1,1
lao2,2
an1,1
qian2,2
ma3,3
hou4,4
an4,4
gu3,3
zhi1,1
bian4,4
an4,4
ran2,2
dao4,4
mao4,4
an4,4
bing1,1
bu4,4
dong4,4
an4,4
bing1,1
bu4,4
ju3,3
an4,4
bing1,1
shu4,4
jia3,3
an4,4
bu4,4
jiu4,4
ban1,1
an4,4
bu4,4
jiu4,4
ban1,1
an4,4
du3,3
ru2,2
gu4,4
an4,4
jia3,3
qin3,3
bing1,1
an4,4
jia3,3
xiu1,1
bing1,1
an4,4
ming2,2
ze2,2
shi2,2
an4,4
na4,4
bu4,4
zhu4,4
an4,4
pei4,4
xu2,2
xing2,2
an4,4
tu2,2
suo3,3
ji4,4
an4,4
tu2,2
suo3,3
jun4,4
an4,4
xing2,2
zi4,4
yi4,4
an4,4
bing1,1
shu4,4
jia3,3
an4,4
du2,2
lao2,2
xing2,2
an4,4
du2,2
zhi1,1
lao2,2
an4,4
jia3,3
xiu1,1
bing1,1
an4,4
jian4,4
chen1,1
mu4,4
an4,4
wu2,2
liu2,2
du2,2
an4,4
chui2,2
da3,3
ren2,2
an4,4
dan4,4
wu2,2
guang1,1
an4,4
dou4,4
ming2,2
zheng1,1
an4,4
du4,4
chen2,2
cang1,1
an4,4
du4,4
jin1,1
zhen1,1
an4,4
du4,4
chen2,2
cang1,1
an4,4
jian4,4
ming2,2
qiang1,1
an4,4
jian4,4
nan2,2
fang2,2
an4,4
jian4,4
shang1,1
ren2,2
an4,4
jian4,4
zhong4,4
ren2,2
an4,4
lv4,4
xi1,1
hong2,2
an4,4
mei4,4
zhi1,1
shi4,4
an4,4
qi4,4
an4,4
nao3,3
an4,4
ruo4,4
wu2,2
duan4,4
an4,4
shi4,4
bu4,4
qi1,1
an4,4
shi4,4
feng2,2
deng1,1
an4,4
shi4,4
kui1,1
xin1,1
an4,4
shi4,4
qi1,1
xin1,1
an4,4
shi4,4
qiu2,2
wu4,4
an4,4
shi4,4
si1,1
xin1,1
an4,4
shi4,4
wu1,1
lou4,4
an4,4
song4,4
qiu1,1
bo1,1
an4,4
wu2,2
tian1,1
ri4,4
an4,4
xiang1,1
shu1,1
ying3,3
an4,4
zhong1,1
mo1,1
suo3,3
an4,4
dan4,4
wu2,2
guang1,1
an4,4
hui4,4
xiao1,1
chen2,2
an4,4
ran2,2
shang1,1
shen2,2
an4,4
ran2,2
shen2,2
shang1,1
an4,4
ran2,2
shi1,1
se4,4
an4,4
ran2,2
wu2,2
se4,4
an4,4
ran2,2
xiao1,1
hun2,2
ang2,2
ang2,2
zi4,4
roo4,4
ang2,2
cang2,2
qi1,1
chi3,3
ang2,2
ran2,2
zhi2,2
ru4,4
ang2,2
ran2,2
zi4,4
de2,2
ang2,2
ran2,2
zi4,4
ruo4,4
ang2,2
shou3,3
kuo4,4
bu4,4
ang2,2
shou3,3
shen1,1
mei2,2
ang2,2
shou3,3
tian1,1
wai4,4
ang2,2
shou3,3
ting3,3
xiong1,1
ang2,2
shou3,3
wang4,4
tian1,1
ang2,2
tou2,2
kuo4,4
bu4,4
ang2,2
tou2,2
tian1,1
wai4,4
ang2,2
tou2,2
ting3,3
xiong1,1
ang2,2
xiao1,1
song3,3
he4,4
ang4,4
yu2,2
xiang1,1
ji1,1
ang4,4
yu2,2
xiang1,1
qiao1,1
ao4,4
bu4,4
ke3,3
zhang3,3
ao2,2
shi4,4
qing1,1
wu4,4
ao2,2
ao2,2
dai4,4
bu3,3
ao2,2
xiang2,2
zi4,4
de2,2
ao2,2
chang2,2
gua1,1
du4,4
ao2,2
geng1,1
shou3,3
ye4,4
ao2,2
jiang1,1
xia1,1
cu4,4
ao2,2
ku1,1
shou4,4
dan4,4
ao2,2
qing1,1
shou3,3
dan4,4
ao2,2
qing1,1
shou3,3
tan2,2
ao2,2
qing1,1
shou4,4
dan4,4
ao2,2
xin1,1
fei4,4
li4,4
ao2,2
you2,2
fei4,4
huo3,3
ao2,2
ya2,2
ji2,2
qu1,1
ao2,2
ya2,2
ji3,3
kou3,3
ao2,2
ya2,2
jie2,2
qu1,1
ao2,2
ya2,2
ji2,2
qu1,1
ao2,2
ya2,2
ji2,2
qu1,1
ao2,2
fen4,4
long2,2
chou2,2
ao2,2
li3,3
duo2,2
zun1,1
ao2,2
ming2,2
bie1,1
ying1,1
ao2,2
tou2,2
du2,2
zhan4,4
ao2,2
zhi4,4
jing1,1
qu4,4
ao2,2
zhi4,4
jing1,1
tun1,1
ao4,4
bu4,4
ke3,3
zhang3,3
ao4,4
gu3,3
lin2,2
lin2,2
ao4,4
man4,4
bu4,4
xun4,4
ao4,4
man4,4
shao3,3
li3,3
ao4,4
man4,4
wu2,2
li3,3
ao4,4
ni4,4
de2,2
zhi4,4
ao4,4
ni4,4
wan4,4
wu4,4
ao4,4
ni4,4
yi1,1
qie4,4
ao4,4
ni4,4
yi1,1
shi4,4
ao4,4
ni4,4
zi4,4
ruo4,4
ao4,4
ran2,2
ting3,3
li4,4
ao4,4
ran2,2
yi4,4
li4,4
ao4,4
shi4,4
qing1,1
wu4,4
ao4,4
shuang1,1
dou4,4
xue3,3
ao4,4
tou2,2
ao4,4
nao3,3
ao4,4
xian2,2
man4,4
shi4,4
ao4,4
xue3,3
ling2,2
shuang1,1
ao4,4
xue3,3
qi1,1
shuang1,1
ao4,4
miao4,4
wu2,2
qiong2,2
ao4,4
yuan2,2
you3,3
ling2,2
ao4,4
hui3,3
wu2,2
ji2,2
ba1,1
bai3,3
gu1,1
han2,2
ba1,1
bai4,4
zhi1,1
jiao1,1
ba1,1
chuang1,1
ling2,2
long2,2
ba1,1
dou3,3
zhi1,1
cai2,2
ba1,1
fang1,1
feng1,1
yu3,3
ba1,1
fang1,1
hu1,1
ying4,4
ba1,1
fang1,1
zhi1,1
chi2,2
ba1,1
fang1,1
zhi1,1
yuan2,2
ba1,1
fu3,3
xun2,2
an4,4
ba1,1
hong2,2
tong2,2
gui3,3
ba1,1
huang1,1
zhi1,1
wai4,4
ba1,1
jie1,1
jiu3,3
mo4,4
ba1,1
mian4,4
jian4,4
guang1,1
ba1,1
mian4,4
ling2,2
long2,2
ba1,1
mian4,4
shi3,3
feng1,1
ba1,1
mian4,4
shou4,4
di2,2
ba1,1
mian4,4
wei1,1
feng1,1
ba1,1
mian4,4
ying2,2
che4,4
ba1,1
mian4,4
yuan2,2
tong1,1
ba1,1
mian4,4
zhang1,1
luo,0
ba1,1
nan4,4
san1,1
zai1,1
ba1,1
wan4,4
si4,4
qian1,1
ba1,1
xian1,1
guo4,4
hai3,3
ba1,1
yin1,1
die2,2
zou4,4
ba1,1
yin1,1
e4,4
mi4,4
ba1,1
zhen1,1
yu4,4
shi2,2
ba1,1
zi4,4
da3,3
kai1,1
ba1,1
ba1,1
ji2,2
ji2,2
ba1,1
ba1,1
jie2,2
jie2,2
ba1,1
ba1,1
jie1,1
jie1,1
ba1,1
gao1,1
wang4,4
shang4,4
ba1,1
gao1,1
zhi1,1
er2,2
ba1,1
qian2,2
suan4,4
hou4,4
ba1,1
ren2,2
xia4,4
li3,3
ba1,1
san1,1
lan3,3
si4,4
ba1,1
san1,1
lan3,3
si4,4
ba1,1
shan1,1
du4,4
ling3,3
ba1,1
shan1,1
shu3,3
shui3,3
ba1,1
shan1,1
ye4,4
yu3,3
ba1,1
shan1,1
yue4,4
ling3,3
ba1,1
tou2,2
tan4,4
nao3,3
pa2,2
er3,3
sao1,1
sai1,1
ba1,1
gao1,1
cai3,3
di1,1
han4,4
ge2,2
bu4,4
ru4,4
ba2,2
ben3,3
se4,4
yuan2,2
ba2,2
ben3,3
se4,4
yuan2,2
ba2,2
cong2,2
chu1,1
lei4,4
ba2,2
cui4,4
chu1,1
lei4,4
ba2,2
cui4,4
chu1,1
qun2,2
ba2,2
dao1,1
xiang1,1
xiang4,4
ba2,2
dao1,1
xiang1,1
zhu4,4
ba2,2
di4,4
can1,1
tian1,1
ba2,2
di4,4
yao2,2
shan1,1
ba2,2
di4,4
yi3,3
tian1,1
ba2,2
ding1,1
chou1,1
xie1,1
ba2,2
guo1,1
juan3,3
xi2,2
ba2,2
jian4,4
lun4,4
gong1,1
ba2,2
kui2,2
dan4,4
zao3,3
ba2,2
kui2,2
qu4,4
zhi1,1
ba2,2
lai2,2
fu4,4
wang3,3
ba2,2
lei4,4
chao1,1
qun2,2
ba2,2
mao2,2
ji4,4
shi4,4
ba2,2
mao2,2
lian2,2
ru2,2
ba2,2
mao2,2
lian2,2
ru2,2
ba2,2
miao2,2
zhu4,4
zhang3,3
ba2,2
qun2,2
chu1,1
cui4,4
ba2,2
shan1,1
chao1,1
hai3,3
ba2,2
shan1,1
gai4,4
shi4,4
ba2,2
shan1,1
ju3,3
ding3,3
ba2,2
shan1,1
gang1,1
ding3,3
ba2,2
shi2,2
de2,2
wu3,3
ba2,2
shi2,2
shi1,1
wu3,3
ba2,2
shu4,4
han4,4
shan1,1
ba2,2
shu4,4
sou1,1
gen1,1
ba2,2
shu4,4
xun2,2
gen1,1
ba2,2
xi1,1
zhuo2,2
xiang4,4
ba2,2
xia2,2
tou2,2
jing3,3
ba2,2
xin1,1
ling3,3
yi4,4
ba2,2
zhai2,2
fei1,1
sheng1,1
ba2,2
zhai2,2
shang4,4
sheng1,1
ba2,2
zhao4,4
yi4,4
han4,4
ba2,2
zhi4,4
shu4,4
zhi4,4
ba2,2
zhi4,4
yi4,4
zhi4,4
ba2,2
hu2,2
zhi4,4
wei3,3
ba2,2
hu4,4
fei1,1
yang2,2
ba2,2
hu4,4
zi4,4
zi4,4
ba2,2
hu4,4
zi4,4
sui1,1
ba2,2
lai2,2
fu4,4
wang3,3
ba2,2
lv3,3
shan1,1
chuan1,1
ba2,2
qian2,2
jie2,2
hou4,4
ba2,2
qian2,2
zhi4,4
hou4,4
ba2,2
qian2,2
zhi4,4
hou4,4
cang1,1
jie2,2
zao4,4
zi4,4
ba2,2
shan1,1
she4,4
chuan1,1
ba2,2
shan1,1
she4,4
shui3,3
ba2,2
she4,4
shan1,1
chuan1,1
ba3,3
bi4,4
ru4,4
lin2,2
ba3,3
bi4,4
xu2,2
qu4,4
ba3,3
chi2,2
bu4,4
ding4,4
ba3,3
fan4,4
jiao4,4
ji1,1
ba3,3
jiu3,3
chi2,2
ao2,2
ba3,3
su4,4
chi2,2
zhai1,1
ba3,3
wan2,2
wu3,3
yan4,4
ba3,3
xin1,1
zhu4,4
huo3,3
ba1,1
chu4,4
bai3,3
jia1,1
ba4,4
dao4,4
heng2,2
xing2,2
ba4,4
ling2,2
zui4,4
wei4,4
ba4,4
wang2,2
bie2,2
ji1,1
ba4,4
wang2,2
feng1,1
yue4,4
bai2,2
bai2,2
zhu1,1
zhu1,1
bai2,2
bi4,4
qing1,1
ying2,2
bai2,2
bi4,4
san1,1
xian4,4
bai2,2
bi4,4
wei1,1
xia2,2
bai2,2
bi4,4
wu2,2
xia2,2
bai2,2
cao3,3
huang2,2
yun2,2
bai2,2
chi3,3
qing1,1
mei2,2
bai2,2
diao4,4
tong2,2
xin1,1
bai2,2
ding1,1
su2,2
ke4,4
bai2,2
fa4,4
cang1,1
cang1,1
bai2,2
fa4,4
cang1,1
yan2,2
bai2,2
fa4,4
dan1,1
xin1,1
bai2,2
fa4,4
hong2,2
yan2,2
bai2,2
fa4,4
qian1,1
zhang4,4
bai2,2
fa4,4
qing1,1
shan1,1
bai2,2
fa4,4
zhu1,1
yan2,2
bai2,2
fan4,4
qing1,1
chu2,2
bai2,2
gu3,3
lu4,4
ye3,3
bai2,2
gu3,3
zai4,4
rou4,4
bai2,2
gui1,1
zhi1,1
dian4,4
bai2,2
hei1,1
bu4,4
fen1,1
bai2,2
hei1,1
dian1,1
dao3,3
bai2,2
hei1,1
fen1,1
ming2,2
bai2,2
hong2,2
guan4,4
ri4,4
bai2,2
hua2,2
zhi1,1
yuan4,4
bai2,2
hua4,4
ba1,1
gu3,3
bai2,2
jia2,2
lan2,2
shan1,1
bai2,2
ju1,1
guo4,4
xi4,4
bai2,2
ju1,1
kong1,1
gu3,3
bai2,2
la4,4
ming2,2
jing1,1
bai2,2
lang4,4
xian1,1
tian1,1
bai2,2
long2,2
yu2,2
fu2,2
bai2,2
mao2,2
huang2,2
yue4,4
bai2,2
mei2,2
chi4,4
yan3,3
bai2,2
mian4,4
ru2,2
guan1,1
bai2,2
mian4,4
ru2,2
sheng1,1
bai2,2
mian4,4
shu1,1
lang2,2
bai2,2
mian4,4
shu1,1
sheng1,1
bai2,2
jia2,2
qing1,1
shan1,1
bai2,2
ri4,4
fei1,1
sheng1,1
bai2,2
ri4,4
jian4,4
gui3,3
bai2,2
ri4,4
qing1,1
tian1,1
bai2,2
ri4,4
shang4,4
sheng1,1
bai2,2
ri4,4
sheng1,1
tian1,1
bai2,2
ri4,4
xiu4,4
yi1,1
bai2,2
ri4,4
yi4,4
xiu4,4
bai2,2
ri4,4
zuo4,4
meng4,4
bai2,2
ri4,4
zuo4,4
meng4,4
