:VID(string),idiom.pinyin:string
阿鼻地狱,"['a1', 'bi2', 'di4', 'yu4']"
阿党比周,"['e1', 'dang3', 'bi3', 'zhou1']"
阿党相为,"['e1', 'dang3', 'xiang1', 'wei2']"
阿狗阿猫,"['a1', 'gou3', 'a1', 'mao1']"
阿姑阿翁,"['a1', 'gu1', 'a1', 'weng1']"
阿家阿翁,"['a1', 'gu1', 'a1', 'weng1']"
阿娇金屋,"['a1', 'jiao1', 'jin1', 'wu1']"
阿猫阿狗,"['a1', 'mao1', 'a1', 'gou3']"
阿弥陀佛,"['e1', 'mi2', 'tuo2', 'fo2']"
阿毗地狱,"['a1', 'pi2', 'di4', 'yu4']"
阿平绝倒,"['a1', 'ping2', 'jue2', 'dao3']"
阿其所好,"['e1', 'qi2', 'suo3', 'hao4']"
阿时趋俗,"['e1', 'shi2', 'qu1', 'su2']"
阿世盗名,"['e1', 'shi4', 'dao4', 'ming2']"
阿世媚俗,"['e1', 'shi4', 'mei4', 'su2']"
阿世取容,"['e1', 'shi4', 'qu3', 'rong2']"
阿意取容,"['e1', 'yi4', 'qu3', 'rong2']"
阿谀谄媚,"['e1', 'yu2', 'chan3', 'mei4']"
阿谀逢迎,"['e1', 'yu2', 'feng2', 'ying2']"
阿谀奉承,"['e1', 'yu2', 'feng4', 'cheng2']"
阿谀取容,"['e1', 'yu2', 'qu3', 'rong2']"
哀哀父母,"['ai1', 'ai1', 'fu4', 'mu3']"
哀哀欲绝,"['ai1', 'ai1', 'yu4', 'jue2']"
哀兵必胜,"['ai1', 'bing1', 'bi4', 'sheng4']"
哀而不伤,"['ai1', 'er2', 'bu4', 'shang1']"
哀感天地,"['ai1', 'gan3', 'tian1', 'di4']"
哀感顽艳,"['ai1', 'gan3', 'wan2', 'yan4']"
哀感中年,"['ai1', 'gan3', 'zhong1', 'nian2']"
哀告宾服,"['ai1', 'gao4', 'bin1', 'fu2']"
哀鸿遍地,"['ai1', 'hong2', 'bian4', 'di4']"
哀鸿遍野,"['ai1', 'hong2', 'bian4', 'ye3']"
哀毁骨立,"['ai1', 'hui3', 'gu3', 'li4']"
哀毁瘠立,"['ai1', 'hui3', 'ji1', 'li4']"
哀梨蒸食,"['ai1', 'li2', 'zheng1', 'shi2']"
哀声叹气,"['ai1', 'sheng1', 'tan4', 'qi4']"
哀丝豪竹,"['ai1', 'si1', 'hao2', 'zhu2']"
哀思如潮,"['ai1', 'si1', 'ru2', 'chao2']"
哀天叫地,"['ai1', 'tian1', 'jiao4', 'di4']"
哀痛欲绝,"['ai1', 'tong4', 'yu4', 'jue2']"
唉声叹气,"['ai1', 'sheng1', 'tan4', 'qi4']"
挨冻受饿,"['ai2', 'dong4', 'shou4', 'e4']"
挨风缉缝,"['ai1', 'feng1', 'ji1', 'feng4']"
挨家挨户,"['ai1', 'ji', 'ai1', 'hu4']"
挨肩并足,"['ai1', 'jian1', 'bing4', 'zu2']"
挨肩擦膀,"['ai1', 'jian1', 'ca1', 'bang3']"
挨肩擦背,"['ai1', 'jian1', 'ca1', 'bei4']"
挨肩擦脸,"['ai1', 'jian1', 'ca1', 'lian3']"
挨肩搭背,"['ai1', 'jian1', 'da1', 'bei4']"
挨肩迭背,"['ai1', 'jian1', 'die2', 'bei4']"
挨肩叠背,"['ai1', 'jian1', 'die2', 'bei4']"
挨门挨户,"['ai1', 'men2', 'ai1', 'hu4']"
挨门逐户,"['ai1', 'men2', 'zhu2', 'hu4']"
挨三顶五,"['ai1', 'san1', 'ding3', 'wu3']"
挨山塞海,"['ai1', 'shan1', 'se4', 'hai3']"
捱风缉缝,"['ai1', 'feng1', 'qi1', 'feng4']"
捱三顶四,"['ai1', 'san1', 'ding3', 'si4']"
捱三顶五,"['ai1', 'san1', 'ding3', 'wu3']"
嗳声叹气,"['ai4', 'sheng1', 'tan4', 'qi4']"
矮人观场,"['ai3', 'ren2', 'guan1', 'chang2']"
矮人看场,"['ai3', 'ren2', 'kan4', 'chang3']"
矮人看戏,"['ai3', 'ren2', 'kan4', 'xi4']"
矮子观场,"['ai3', 'zi3', 'guan1', 'chang2']"
矮子看戏,"['ai3', 'zi3', 'kan4', 'xi4']"
蔼然可亲,"['ai3', 'ran2', 'ke3', 'qin1']"
蔼然仁者,"['ai3', 'ran2', 'ren2', 'zhe3']"
爱别离苦,"['ai4', 'bie2', 'li2', 'ku3']"
爱不忍释,"['ai4', 'bu4', 'ren3', 'shi4']"
爱不释手,"['ai4', 'bu4', 'shi4', 'shou3']"
爱才如渴,"['ai4', 'cai2', 'ru2', 'ke3']"
爱才如命,"['ai4', 'cai2', 'ru2', 'ming4']"
爱才若渴,"['ai4', 'cai2', 'ruo4', 'ke3']"
爱财如命,"['ai4', 'cai2', 'ru2', 'ming4']"
爱富嫌贫,"['ai4', 'fu4', 'xian2', 'pin2']"
爱国如家,"['ai4', 'guo2', 'ru2', 'jia1']"
爱鹤失众,"['ai4', 'he4', 'shi1', 'zhong4']"
爱礼存羊,"['ai4', 'li3', 'cun2', 'yang2']"
爱毛反裘,"['ai4', 'mao2', 'fan3', 'qiu2']"
爱民如子,"['ai4', 'min2', 'ru2', 'zi3']"
爱莫能助,"['ai4', 'mo4', 'neng2', 'zhu4']"
爱莫之助,"['ai4', 'mo4', 'zhi1', 'zhu4']"
爱钱如命,"['ai4', 'qian2', 'ru2', 'ming4']"
爱人好士,"['ai4', 'ren2', 'hao4', 'shi4']"
爱人利物,"['ai4', 'ren2', 'li4', 'wu4']"
爱人以德,"['ai4', 'ren2', 'yi3', 'de2']"
爱日惜力,"['ai4', 'ri4', 'xi1', 'li4']"
爱如己出,"['ai4', 'ru2', 'ji3', 'chu1']"
爱如珍宝,"['ai4', 'ru2', 'zhen1', 'bao3']"
爱生恶死,"['ai4', 'sheng1', 'wu4', 'si3']"
爱素好古,"['ai4', 'su4', 'hao4', 'gu3']"
爱屋及乌,"['ai4', 'wu1', 'ji2', 'wu1']"
爱惜羽毛,"['ai4', 'xi1', 'yu3', 'mao2']"
爱憎分明,"['ai4', 'zeng1', 'fen1', 'ming2']"
碍口识羞,"['ai4', 'kou3', 'shi2', 'xiu1']"
碍难从命,"['ai4', 'nan2', 'cong2', 'ming4']"
碍手碍脚,"['ai4', 'shou3', 'ai4', 'jiao3']"
碍足碍手,"['ai4', 'zu2', 'ai4', 'shou3']"
暧昧不明,"['ai4', 'mei4', 'bu4', 'ming2']"
暧昧之情,"['ai4', 'mei4', 'zhi1', 'qing2']"
安安稳稳,"['an1', 'an1', 'wen3', 'wen3']"
安邦定国,"['an1', 'bang1', 'ding4', 'guo2']"
安邦治国,"['an1', 'bang1', 'zhi4', 'guo2']"
安不忘危,"['an1', 'bu4', 'wang4', 'wei1']"
安步当车,"['an1', 'bu4', 'dang4', 'che1']"
安常处顺,"['an1', 'chang2', 'chu3', 'shun4']"
安常履顺,"['an1', 'chang2', 'lv3', 'shun4']"
安常守分,"['an1', 'chang2', 'shou3', 'fen4']"
安常守故,"['an1', 'chang2', 'shou3', 'gu4']"
安常习故,"['an1', 'chang2', 'xi2', 'gu4']"
安车蒲轮,"['an1', 'che1', 'pu2', 'lun2']"
安堵乐业,"['an1', 'du3', 'le4', 'ye4']"
安堵如故,"['an1', 'du3', 'ru2', 'gu4']"
安分守己,"['an1', 'fen4', 'shou3', 'ji3']"
安分守已,"['an1', 'fen3', 'shou3', 'ji3']"
安分知足,"['an1', 'fen4', 'zhi1', 'zu2']"
安份守己,"['an1', 'fen4', 'shou3', 'ji3']"
安富恤贫,"['an1', 'fu4', 'xu4', 'pin2']"
安富恤穷,"['an1', 'fu4', 'xu4', 'qiong2']"
安富尊荣,"['an1', 'fu4', 'zun1', 'rong2']"
安故重迁,"['an1', 'gu4', 'zhong4', 'qian1']"
安国富民,"['an1', 'guo2', 'fu4', 'min2']"
安国宁家,"['an1', 'guo2', 'ning2', 'jia1']"
安魂定魄,"['an1', 'hun2', 'ding4', 'po4']"
安家乐业,"['an1', 'jia1', 'le4', 'ye4']"
安家立业,"['an1', 'jia1', 'li4', 'ye4']"
安家落户,"['an1', 'jia1', 'luo4', 'hu4']"
安居乐业,"['an1', 'ju1', 'le4', 'ye4']"
安老怀少,"['an1', 'lao3', 'huai2', 'shao4']"
安良除暴,"['an1', 'liang2', 'chu2', 'bao4']"
安眉带眼,"['an1', 'mei2', 'dai4', 'yan3']"
安民告示,"['an1', 'min2', 'gao4', 'shi4']"
安内攘外,"['an1', 'nei4', 'rang3', 'wai4']"
安贫乐道,"['an1', 'pin2', 'le4', 'dao4']"
安贫乐贱,"['an1', 'pin2', 'le4', 'jian4']"
安贫守道,"['an1', 'pin2', 'shou3', 'dao4']"
安然如故,"['an1', 'ran2', 'ru2', 'gu4']"
安然无事,"['an1', 'ran2', 'wu2', 'shi4']"
安然无恙,"['an1', 'ran2', 'wu2', 'yang4']"
安忍无亲,"['an1', 'ren3', 'wu2', 'qin1']"
安如盘石,"['an1', 'ru2', 'pan2', 'shi2']"
安如磐石,"['an1', 'ru2', 'pan2', 'shi2']"
安如太山,"['an1', 'ru2', 'tai4', 'shan1']"
安如泰山,"['an1', 'ru2', 'tai4', 'shan1']"
安若泰山,"['an1', 'ruo4', 'tai4', 'shan1']"
安身乐业,"['an1', 'shen1', 'le4', 'ye4']"
安身立命,"['an1', 'shen1', 'li4', 'ming4']"
安身为乐,"['an1', 'shen1', 'wei2', 'le4']"
安身之处,"['an1', 'shen1', 'zhi1', 'chu4']"
安身之地,"['an1', 'shen1', 'zhi1', 'di4']"
安神定魄,"['an1', 'shen2', 'ding4', 'po4']"
安生服业,"['an1', 'sheng1', 'fu2', 'ye4']"
安生乐业,"['an1', 'sheng1', 'le4', 'ye4']"
安时处顺,"['an1', 'shi2', 'chu3', 'shun4']"
安室利处,"['an1', 'shi4', 'li4', 'chu4']"
安适如常,"['an1', 'shi4', 'ru2', 'chang2']"
安土乐业,"['an1', 'tu3', 'le4', 'ye4']"
安土重旧,"['an1', 'tu3', 'zhong4', 'jiu4']"
安土重居,"['an1', 'tu3', 'zhong4', 'ju1']"
安土重迁,"['an1', 'tu3', 'zhong4', 'qian1']"
安危相易,"['an1', 'wei1', 'xiang1', 'yi4']"
安危与共,"['an1', 'wei1', 'yu3', 'gong4']"
安闲自得,"['an1', 'xian2', 'zi4', 'de2']"
安闲自在,"['an1', 'xian2', 'zi4', 'zai4']"
安心定志,"['an1', 'xin1', 'ding4', 'zhi4']"
安心乐业,"['an1', 'xin1', 'le4', 'ye4']"
安心乐意,"['an1', 'xin1', 'le4', 'yi4']"
安心落意,"['an1', 'xin1', 'luo4', 'yi4']"
安营下寨,"['an1', 'ying2', 'xia4', 'zhai4']"
安营扎寨,"['an1', 'ying2', 'zha1', 'zhai4']"
安于盘石,"['an1', 'yu2', 'pan2', 'shi2']"
安于现状,"['an1', 'yu2', 'xian4', 'zhuang4']"
安于一隅,"['an1', 'yu4', 'yi1', 'yu4']"
安宅正路,"['an1', 'zhai2', 'zheng4', 'lu4']"
安枕而卧,"['an1', 'zhen3', 'er2', 'wo4']"
安之若命,"['an1', 'zhi1', 'ruo4', 'ming4']"
安之若素,"['an1', 'zhi1', 'ruo4', 'su4']"
安坐待毙,"['an1', 'zuo4', 'dai4', 'bi4']"
鞍马劳顿,"['an1', 'ma3', 'lao2', 'dun4']"
鞍马劳倦,"['an1', 'ma3', 'lao2', 'juan4']"
鞍马劳困,"['an1', 'ma3', 'lao2', 'kun4']"
鞍马劳神,"['an1', 'ma3', 'lao2', 'shen2']"
鞍马之劳,"['an1', 'ma3', 'zhi1', 'lao2']"
鞍前马后,"['an1', 'qian2', 'ma3', 'hou4']"
岸谷之变,"['an4', 'gu3', 'zhi1', 'bian4']"
岸然道貌,"['an4', 'ran2', 'dao4', 'mao4']"
按兵不动,"['an4', 'bing1', 'bu4', 'dong4']"
按兵不举,"['an4', 'bing1', 'bu4', 'ju3']"
按兵束甲,"['an4', 'bing1', 'shu4', 'jia3']"
按步就班,"['an4', 'bu4', 'jiu4', 'ban1']"
按部就班,"['an4', 'bu4', 'jiu4', 'ban1']"
按堵如故,"['an4', 'du3', 'ru2', 'gu4']"
按甲寝兵,"['an4', 'jia3', 'qin3', 'bing1']"
按甲休兵,"['an4', 'jia3', 'xiu1', 'bing1']"
按名责实,"['an4', 'ming2', 'ze2', 'shi2']"
按捺不住,"['an4', 'na4', 'bu4', 'zhu4']"
按辔徐行,"['an4', 'pei4', 'xu2', 'xing2']"
按图索骥,"['an4', 'tu2', 'suo3', 'ji4']"
按图索骏,"['an4', 'tu2', 'suo3', 'jun4']"
