:VID(string),pinyin_part.part_type:string
a,final
b,initial
i,final
d,initial
i,final
y,initial
u,final
e,final
d,initial
ang,final
b,initial
i,final
zh,initial
ou,final
e,final
d,initial
ang,final
x,initial
iang,final
w,initial
ei,final
a,final
g,initial
ou,final
a,final
m,initial
ao,final
a,final
g,initial
u,final
a,final
w,initial
eng,final
a,final
g,initial
u,final
a,final
w,initial
eng,final
a,final
j,initial
iao,final
j,initial
in,final
w,initial
u,final
a,final
m,initial
ao,final
a,final
g,initial
ou,final
e,final
m,initial
i,final
t,initial
uo,final
f,initial
o,final
a,final
p,initial
i,final
d,initial
i,final
y,initial
u,final
a,final
p,initial
ing,final
j,initial
ue,final
d,initial
ao,final
e,final
q,initial
i,final
s,initial
uo,final
h,initial
ao,final
e,final
sh,initial
i,final
q,initial
u,final
s,initial
u,final
e,final
sh,initial
i,final
d,initial
ao,final
m,initial
ing,final
e,final
sh,initial
i,final
m,initial
ei,final
s,initial
u,final
e,final
sh,initial
i,final
q,initial
u,final
r,initial
ong,final
e,final
y,initial
i,final
q,initial
u,final
r,initial
ong,final
e,final
y,initial
u,final
ch,initial
an,final
m,initial
ei,final
e,final
y,initial
u,final
f,initial
eng,final
y,initial
ing,final
e,final
y,initial
u,final
f,initial
eng,final
ch,initial
eng,final
e,final
y,initial
u,final
q,initial
u,final
r,initial
ong,final
ai,final
ai,final
f,initial
u,final
m,initial
u,final
ai,final
ai,final
y,initial
u,final
j,initial
ue,final
ai,final
b,initial
ing,final
b,initial
i,final
sh,initial
eng,final
ai,final
er,final
b,initial
u,final
sh,initial
ang,final
ai,final
g,initial
an,final
t,initial
ian,final
d,initial
i,final
ai,final
g,initial
an,final
w,initial
an,final
y,initial
an,final
ai,final
g,initial
an,final
zh,initial
ong,final
n,initial
ian,final
ai,final
g,initial
ao,final
b,initial
in,final
f,initial
u,final
ai,final
h,initial
ong,final
b,initial
ian,final
d,initial
i,final
ai,final
h,initial
ong,final
b,initial
ian,final
y,initial
e,final
ai,final
h,initial
ui,final
g,initial
u,final
l,initial
i,final
ai,final
h,initial
ui,final
j,initial
i,final
l,initial
i,final
ai,final
l,initial
i,final
zh,initial
eng,final
sh,initial
i,final
ai,final
sh,initial
eng,final
t,initial
an,final
q,initial
i,final
ai,final
s,initial
i,final
h,initial
ao,final
zh,initial
u,final
ai,final
s,initial
i,final
r,initial
u,final
ch,initial
ao,final
ai,final
t,initial
ian,final
j,initial
iao,final
d,initial
i,final
ai,final
t,initial
ong,final
y,initial
u,final
j,initial
ue,final
ai,final
sh,initial
eng,final
t,initial
an,final
q,initial
i,final
ai,final
d,initial
ong,final
sh,initial
ou,final
e,final
ai,final
f,initial
eng,final
j,initial
i,final
f,initial
eng,final
ai,final
j,initial
i,final
ai,final
h,initial
u,final
ai,final
j,initial
ian,final
b,initial
ing,final
z,initial
u,final
ai,final
j,initial
ian,final
c,initial
a,final
b,initial
ang,final
ai,final
j,initial
ian,final
c,initial
a,final
b,initial
ei,final
ai,final
j,initial
ian,final
c,initial
a,final
l,initial
ian,final
ai,final
j,initial
ian,final
d,initial
a,final
b,initial
ei,final
ai,final
j,initial
ian,final
d,initial
ie,final
b,initial
ei,final
ai,final
j,initial
ian,final
d,initial
ie,final
b,initial
ei,final
ai,final
m,initial
en,final
ai,final
h,initial
u,final
ai,final
m,initial
en,final
zh,initial
u,final
h,initial
u,final
ai,final
s,initial
an,final
d,initial
ing,final
w,initial
u,final
ai,final
sh,initial
an,final
s,initial
e,final
h,initial
ai,final
ai,final
f,initial
eng,final
q,initial
i,final
f,initial
eng,final
ai,final
s,initial
an,final
d,initial
ing,final
s,initial
i,final
ai,final
s,initial
an,final
d,initial
ing,final
w,initial
u,final
ai,final
sh,initial
eng,final
t,initial
an,final
q,initial
i,final
ai,final
r,initial
en,final
g,initial
uan,final
ch,initial
ang,final
ai,final
r,initial
en,final
k,initial
an,final
ch,initial
ang,final
ai,final
r,initial
en,final
k,initial
an,final
x,initial
i,final
ai,final
z,initial
i,final
g,initial
uan,final
ch,initial
ang,final
ai,final
z,initial
i,final
k,initial
an,final
x,initial
i,final
ai,final
r,initial
an,final
k,initial
e,final
q,initial
in,final
ai,final
r,initial
an,final
r,initial
en,final
zh,initial
e,final
ai,final
b,initial
ie,final
l,initial
i,final
k,initial
u,final
ai,final
b,initial
u,final
r,initial
en,final
sh,initial
i,final
ai,final
b,initial
u,final
sh,initial
i,final
sh,initial
ou,final
ai,final
c,initial
ai,final
r,initial
u,final
k,initial
e,final
ai,final
c,initial
ai,final
r,initial
u,final
m,initial
ing,final
ai,final
c,initial
ai,final
r,initial
uo,final
k,initial
e,final
ai,final
c,initial
ai,final
r,initial
u,final
m,initial
ing,final
ai,final
f,initial
u,final
x,initial
ian,final
p,initial
in,final
ai,final
g,initial
uo,final
r,initial
u,final
j,initial
ia,final
ai,final
h,initial
e,final
sh,initial
i,final
zh,initial
ong,final
ai,final
l,initial
i,final
c,initial
un,final
y,initial
ang,final
ai,final
m,initial
ao,final
f,initial
an,final
q,initial
iu,final
ai,final
m,initial
in,final
r,initial
u,final
z,initial
i,final
