:SRC_VID(string),:DST_VID(string),with_character.position:int
阿鼻地狱,阿,0
阿鼻地狱,鼻,1
阿鼻地狱,地,2
阿鼻地狱,狱,3
阿党比周,阿,0
阿党比周,党,1
阿党比周,比,2
阿党比周,周,3
阿党相为,阿,0
阿党相为,党,1
阿党相为,相,2
阿党相为,为,3
阿狗阿猫,阿,0
阿狗阿猫,狗,1
阿狗阿猫,阿,2
阿狗阿猫,猫,3
阿姑阿翁,阿,0
阿姑阿翁,姑,1
阿姑阿翁,阿,2
阿姑阿翁,翁,3
阿家阿翁,阿,0
阿家阿翁,家,1
阿家阿翁,阿,2
阿家阿翁,翁,3
阿娇金屋,阿,0
阿娇金屋,娇,1
阿娇金屋,金,2
阿娇金屋,屋,3
阿猫阿狗,阿,0
阿猫阿狗,猫,1
阿猫阿狗,阿,2
阿猫阿狗,狗,3
阿弥陀佛,阿,0
阿弥陀佛,弥,1
阿弥陀佛,陀,2
阿弥陀佛,佛,3
阿毗地狱,阿,0
阿毗地狱,毗,1
阿毗地狱,地,2
阿毗地狱,狱,3
阿平绝倒,阿,0
阿平绝倒,平,1
阿平绝倒,绝,2
阿平绝倒,倒,3
阿其所好,阿,0
阿其所好,其,1
阿其所好,所,2
阿其所好,好,3
阿时趋俗,阿,0
阿时趋俗,时,1
阿时趋俗,趋,2
阿时趋俗,俗,3
阿世盗名,阿,0
阿世盗名,世,1
阿世盗名,盗,2
阿世盗名,名,3
阿世媚俗,阿,0
阿世媚俗,世,1
阿世媚俗,媚,2
阿世媚俗,俗,3
阿世取容,阿,0
阿世取容,世,1
阿世取容,取,2
阿世取容,容,3
阿意取容,阿,0
阿意取容,意,1
阿意取容,取,2
阿意取容,容,3
阿谀谄媚,阿,0
阿谀谄媚,谀,1
阿谀谄媚,谄,2
阿谀谄媚,媚,3
阿谀逢迎,阿,0
阿谀逢迎,谀,1
阿谀逢迎,逢,2
阿谀逢迎,迎,3
阿谀奉承,阿,0
阿谀奉承,谀,1
阿谀奉承,奉,2
阿谀奉承,承,3
阿谀取容,阿,0
阿谀取容,谀,1
阿谀取容,取,2
阿谀取容,容,3
哀哀父母,哀,0
哀哀父母,哀,1
哀哀父母,父,2
哀哀父母,母,3
哀哀欲绝,哀,0
哀哀欲绝,哀,1
哀哀欲绝,欲,2
哀哀欲绝,绝,3
哀兵必胜,哀,0
哀兵必胜,兵,1
哀兵必胜,必,2
哀兵必胜,胜,3
哀而不伤,哀,0
哀而不伤,而,1
哀而不伤,不,2
哀而不伤,伤,3
哀感天地,哀,0
哀感天地,感,1
哀感天地,天,2
哀感天地,地,3
哀感顽艳,哀,0
哀感顽艳,感,1
哀感顽艳,顽,2
哀感顽艳,艳,3
哀感中年,哀,0
哀感中年,感,1
哀感中年,中,2
哀感中年,年,3
哀告宾服,哀,0
哀告宾服,告,1
哀告宾服,宾,2
哀告宾服,服,3
哀鸿遍地,哀,0
哀鸿遍地,鸿,1
哀鸿遍地,遍,2
哀鸿遍地,地,3
哀鸿遍野,哀,0
哀鸿遍野,鸿,1
哀鸿遍野,遍,2
哀鸿遍野,野,3
哀毁骨立,哀,0
哀毁骨立,毁,1
哀毁骨立,骨,2
哀毁骨立,立,3
哀毁瘠立,哀,0
哀毁瘠立,毁,1
哀毁瘠立,瘠,2
哀毁瘠立,立,3
哀梨蒸食,哀,0
哀梨蒸食,梨,1
哀梨蒸食,蒸,2
哀梨蒸食,食,3
哀声叹气,哀,0
哀声叹气,声,1
哀声叹气,叹,2
哀声叹气,气,3
哀丝豪竹,哀,0
哀丝豪竹,丝,1
哀丝豪竹,豪,2
哀丝豪竹,竹,3
哀思如潮,哀,0
哀思如潮,思,1
哀思如潮,如,2
哀思如潮,潮,3
哀天叫地,哀,0
哀天叫地,天,1
哀天叫地,叫,2
哀天叫地,地,3
哀痛欲绝,哀,0
哀痛欲绝,痛,1
哀痛欲绝,欲,2
哀痛欲绝,绝,3
