:SRC_VID(string),:DST_VID(string),with_pinyin.position:int
阿鼻地狱,a1,0
阿鼻地狱,bi2,1
阿鼻地狱,di4,2
阿鼻地狱,yu4,3
阿党比周,e1,0
阿党比周,dang3,1
阿党比周,bi3,2
阿党比周,zhou1,3
阿党相为,e1,0
阿党相为,dang3,1
阿党相为,xiang1,2
阿党相为,wei2,3
阿狗阿猫,a1,0
阿狗阿猫,gou3,1
阿狗阿猫,a1,2
阿狗阿猫,mao1,3
阿姑阿翁,a1,0
阿姑阿翁,gu1,1
阿姑阿翁,a1,2
阿姑阿翁,weng1,3
阿家阿翁,a1,0
阿家阿翁,gu1,1
阿家阿翁,a1,2
阿家阿翁,weng1,3
阿娇金屋,a1,0
阿娇金屋,jiao1,1
阿娇金屋,jin1,2
阿娇金屋,wu1,3
阿猫阿狗,a1,0
阿猫阿狗,mao1,1
阿猫阿狗,a1,2
阿猫阿狗,gou3,3
阿弥陀佛,e1,0
阿弥陀佛,mi2,1
阿弥陀佛,tuo2,2
阿弥陀佛,fo2,3
阿毗地狱,a1,0
阿毗地狱,pi2,1
阿毗地狱,di4,2
阿毗地狱,yu4,3
阿平绝倒,a1,0
阿平绝倒,ping2,1
阿平绝倒,jue2,2
阿平绝倒,dao3,3
阿其所好,e1,0
阿其所好,qi2,1
阿其所好,suo3,2
阿其所好,hao4,3
阿时趋俗,e1,0
阿时趋俗,shi2,1
阿时趋俗,qu1,2
阿时趋俗,su2,3
阿世盗名,e1,0
阿世盗名,shi4,1
阿世盗名,dao4,2
阿世盗名,ming2,3
阿世媚俗,e1,0
阿世媚俗,shi4,1
阿世媚俗,mei4,2
阿世媚俗,su2,3
阿世取容,e1,0
阿世取容,shi4,1
阿世取容,qu3,2
阿世取容,rong2,3
阿意取容,e1,0
阿意取容,yi4,1
阿意取容,qu3,2
阿意取容,rong2,3
阿谀谄媚,e1,0
阿谀谄媚,yu2,1
阿谀谄媚,chan3,2
阿谀谄媚,mei4,3
阿谀逢迎,e1,0
阿谀逢迎,yu2,1
阿谀逢迎,feng2,2
阿谀逢迎,ying2,3
阿谀奉承,e1,0
阿谀奉承,yu2,1
阿谀奉承,feng4,2
阿谀奉承,cheng2,3
阿谀取容,e1,0
阿谀取容,yu2,1
阿谀取容,qu3,2
阿谀取容,rong2,3
哀哀父母,ai1,0
哀哀父母,ai1,1
哀哀父母,fu4,2
哀哀父母,mu3,3
哀哀欲绝,ai1,0
哀哀欲绝,ai1,1
哀哀欲绝,yu4,2
哀哀欲绝,jue2,3
哀兵必胜,ai1,0
哀兵必胜,bing1,1
哀兵必胜,bi4,2
哀兵必胜,sheng4,3
哀而不伤,ai1,0
哀而不伤,er2,1
哀而不伤,bu4,2
哀而不伤,shang1,3
哀感天地,ai1,0
哀感天地,gan3,1
哀感天地,tian1,2
哀感天地,di4,3
哀感顽艳,ai1,0
哀感顽艳,gan3,1
哀感顽艳,wan2,2
哀感顽艳,yan4,3
哀感中年,ai1,0
哀感中年,gan3,1
哀感中年,zhong1,2
哀感中年,nian2,3
哀告宾服,ai1,0
哀告宾服,gao4,1
哀告宾服,bin1,2
哀告宾服,fu2,3
哀鸿遍地,ai1,0
哀鸿遍地,hong2,1
哀鸿遍地,bian4,2
哀鸿遍地,di4,3
哀鸿遍野,ai1,0
哀鸿遍野,hong2,1
哀鸿遍野,bian4,2
哀鸿遍野,ye3,3
哀毁骨立,ai1,0
哀毁骨立,hui3,1
哀毁骨立,gu3,2
哀毁骨立,li4,3
哀毁瘠立,ai1,0
哀毁瘠立,hui3,1
哀毁瘠立,ji1,2
哀毁瘠立,li4,3
哀梨蒸食,ai1,0
哀梨蒸食,li2,1
哀梨蒸食,zheng1,2
哀梨蒸食,shi2,3
哀声叹气,ai1,0
哀声叹气,sheng1,1
哀声叹气,tan4,2
哀声叹气,qi4,3
哀丝豪竹,ai1,0
哀丝豪竹,si1,1
哀丝豪竹,hao2,2
哀丝豪竹,zhu2,3
哀思如潮,ai1,0
哀思如潮,si1,1
哀思如潮,ru2,2
哀思如潮,chao2,3
哀天叫地,ai1,0
哀天叫地,tian1,1
哀天叫地,jiao4,2
哀天叫地,di4,3
哀痛欲绝,ai1,0
哀痛欲绝,tong4,1
哀痛欲绝,yu4,2
哀痛欲绝,jue2,3
唉声叹气,ai1,0
唉声叹气,sheng1,1
唉声叹气,tan4,2
唉声叹气,qi4,3
挨冻受饿,ai2,0
挨冻受饿,dong4,1
挨冻受饿,shou4,2
挨冻受饿,e4,3
挨风缉缝,ai1,0
挨风缉缝,feng1,1
挨风缉缝,ji1,2
挨风缉缝,feng4,3
挨家挨户,ai1,0
挨家挨户,ji,1
挨家挨户,ai1,2
挨家挨户,hu4,3
挨肩并足,ai1,0
挨肩并足,jian1,1
挨肩并足,bing4,2
挨肩并足,zu2,3
挨肩擦膀,ai1,0
挨肩擦膀,jian1,1
挨肩擦膀,ca1,2
挨肩擦膀,bang3,3
挨肩擦背,ai1,0
挨肩擦背,jian1,1
挨肩擦背,ca1,2
挨肩擦背,bei4,3
挨肩擦脸,ai1,0
挨肩擦脸,jian1,1
挨肩擦脸,ca1,2
挨肩擦脸,lian3,3
挨肩搭背,ai1,0
挨肩搭背,jian1,1
挨肩搭背,da1,2
挨肩搭背,bei4,3
挨肩迭背,ai1,0
挨肩迭背,jian1,1
挨肩迭背,die2,2
挨肩迭背,bei4,3
挨肩叠背,ai1,0
挨肩叠背,jian1,1
挨肩叠背,die2,2
挨肩叠背,bei4,3
挨门挨户,ai1,0
挨门挨户,men2,1
挨门挨户,ai1,2
挨门挨户,hu4,3
挨门逐户,ai1,0
挨门逐户,men2,1
挨门逐户,zhu2,2
挨门逐户,hu4,3
挨三顶五,ai1,0
挨三顶五,san1,1
挨三顶五,ding3,2
挨三顶五,wu3,3
挨山塞海,ai1,0
挨山塞海,shan1,1
挨山塞海,se4,2
挨山塞海,hai3,3
捱风缉缝,ai1,0
捱风缉缝,feng1,1
捱风缉缝,qi1,2
捱风缉缝,feng4,3
捱三顶四,ai1,0
捱三顶四,san1,1
捱三顶四,ding3,2
捱三顶四,si4,3
捱三顶五,ai1,0
捱三顶五,san1,1
捱三顶五,ding3,2
捱三顶五,wu3,3
嗳声叹气,ai4,0
嗳声叹气,sheng1,1
嗳声叹气,tan4,2
嗳声叹气,qi4,3
矮人观场,ai3,0
矮人观场,ren2,1
矮人观场,guan1,2
矮人观场,chang2,3
矮人看场,ai3,0
矮人看场,ren2,1
矮人看场,kan4,2
矮人看场,chang3,3
矮人看戏,ai3,0
矮人看戏,ren2,1
矮人看戏,kan4,2
矮人看戏,xi4,3
矮子观场,ai3,0
矮子观场,zi3,1
矮子观场,guan1,2
矮子观场,chang2,3
矮子看戏,ai3,0
矮子看戏,zi3,1
矮子看戏,kan4,2
矮子看戏,xi4,3
蔼然可亲,ai3,0
蔼然可亲,ran2,1
蔼然可亲,ke3,2
蔼然可亲,qin1,3
蔼然仁者,ai3,0
蔼然仁者,ran2,1
蔼然仁者,ren2,2
蔼然仁者,zhe3,3
爱别离苦,ai4,0
爱别离苦,bie2,1
爱别离苦,li2,2
爱别离苦,ku3,3
爱不忍释,ai4,0
爱不忍释,bu4,1
爱不忍释,ren3,2
爱不忍释,shi4,3
爱不释手,ai4,0
爱不释手,bu4,1
爱不释手,shi4,2
爱不释手,shou3,3
爱才如渴,ai4,0
爱才如渴,cai2,1
爱才如渴,ru2,2
爱才如渴,ke3,3
爱才如命,ai4,0
爱才如命,cai2,1
爱才如命,ru2,2
爱才如命,ming4,3
爱才若渴,ai4,0
爱才若渴,cai2,1
爱才若渴,ruo4,2
爱才若渴,ke3,3
爱财如命,ai4,0
爱财如命,cai2,1
爱财如命,ru2,2
爱财如命,ming4,3
爱富嫌贫,ai4,0
爱富嫌贫,fu4,1
爱富嫌贫,xian2,2
爱富嫌贫,pin2,3
爱国如家,ai4,0
爱国如家,guo2,1
爱国如家,ru2,2
爱国如家,jia1,3
爱鹤失众,ai4,0
爱鹤失众,he4,1
爱鹤失众,shi1,2
爱鹤失众,zhong4,3
爱礼存羊,ai4,0
爱礼存羊,li3,1
爱礼存羊,cun2,2
爱礼存羊,yang2,3
爱毛反裘,ai4,0
爱毛反裘,mao2,1
爱毛反裘,fan3,2
爱毛反裘,qiu2,3
爱民如子,ai4,0
爱民如子,min2,1
爱民如子,ru2,2
爱民如子,zi3,3
爱莫能助,ai4,0
爱莫能助,mo4,1
爱莫能助,neng2,2
爱莫能助,zhu4,3
爱莫之助,ai4,0
爱莫之助,mo4,1
爱莫之助,zhi1,2
爱莫之助,zhu4,3
爱钱如命,ai4,0
爱钱如命,qian2,1
爱钱如命,ru2,2
爱钱如命,ming4,3
爱人好士,ai4,0
爱人好士,ren2,1
爱人好士,hao4,2
爱人好士,shi4,3
爱人利物,ai4,0
爱人利物,ren2,1
爱人利物,li4,2
爱人利物,wu4,3
爱人以德,ai4,0
爱人以德,ren2,1
爱人以德,yi3,2
爱人以德,de2,3
爱日惜力,ai4,0
爱日惜力,ri4,1
爱日惜力,xi1,2
爱日惜力,li4,3
爱如己出,ai4,0
爱如己出,ru2,1
爱如己出,ji3,2
爱如己出,chu1,3
爱如珍宝,ai4,0
爱如珍宝,ru2,1
爱如珍宝,zhen1,2
爱如珍宝,bao3,3
爱生恶死,ai4,0
爱生恶死,sheng1,1
爱生恶死,wu4,2
爱生恶死,si3,3
爱素好古,ai4,0
爱素好古,su4,1
爱素好古,hao4,2
爱素好古,gu3,3
爱屋及乌,ai4,0
爱屋及乌,wu1,1
爱屋及乌,ji2,2
爱屋及乌,wu1,3
爱惜羽毛,ai4,0
爱惜羽毛,xi1,1
爱惜羽毛,yu3,2
爱惜羽毛,mao2,3
爱憎分明,ai4,0
爱憎分明,zeng1,1
爱憎分明,fen1,2
爱憎分明,ming2,3
碍口识羞,ai4,0
碍口识羞,kou3,1
碍口识羞,shi2,2
碍口识羞,xiu1,3
碍难从命,ai4,0
