with_pinyin_part.part_type:string,:SRC_VID(string),:DST_VID(string)
final,a1,a
initial,bi2,b
final,bi2,i
initial,di4,d
final,di4,i
initial,yu4,y
final,yu4,u
final,e1,e
initial,dang3,d
final,dang3,ang
initial,bi3,b
final,bi3,i
initial,zhou1,zh
final,zhou1,ou
final,e1,e
initial,dang3,d
final,dang3,ang
initial,xiang1,x
final,xiang1,iang
initial,wei2,w
final,wei2,ei
final,a1,a
initial,gou3,g
final,gou3,ou
final,a1,a
initial,mao1,m
final,mao1,ao
final,a1,a
initial,gu1,g
final,gu1,u
final,a1,a
initial,weng1,w
final,weng1,eng
final,a1,a
initial,gu1,g
final,gu1,u
final,a1,a
initial,weng1,w
final,weng1,eng
final,a1,a
initial,jiao1,j
final,jiao1,iao
initial,jin1,j
final,jin1,in
initial,wu1,w
final,wu1,u
final,a1,a
initial,mao1,m
final,mao1,ao
final,a1,a
initial,gou3,g
final,gou3,ou
final,e1,e
initial,mi2,m
final,mi2,i
initial,tuo2,t
final,tuo2,uo
initial,fo2,f
final,fo2,o
final,a1,a
initial,pi2,p
final,pi2,i
initial,di4,d
final,di4,i
initial,yu4,y
final,yu4,u
final,a1,a
initial,ping2,p
final,ping2,ing
initial,jue2,j
final,jue2,ue
initial,dao3,d
final,dao3,ao
final,e1,e
initial,qi2,q
final,qi2,i
initial,suo3,s
final,suo3,uo
initial,hao4,h
final,hao4,ao
final,e1,e
initial,shi2,sh
final,shi2,i
initial,qu1,q
final,qu1,u
initial,su2,s
final,su2,u
final,e1,e
initial,shi4,sh
final,shi4,i
initial,dao4,d
final,dao4,ao
initial,ming2,m
final,ming2,ing
final,e1,e
initial,shi4,sh
final,shi4,i
initial,mei4,m
final,mei4,ei
initial,su2,s
final,su2,u
final,e1,e
initial,shi4,sh
final,shi4,i
initial,qu3,q
final,qu3,u
initial,rong2,r
final,rong2,ong
final,e1,e
initial,yi4,y
final,yi4,i
initial,qu3,q
final,qu3,u
initial,rong2,r
final,rong2,ong
final,e1,e
initial,yu2,y
final,yu2,u
initial,chan3,ch
final,chan3,an
initial,mei4,m
final,mei4,ei
final,e1,e
initial,yu2,y
final,yu2,u
initial,feng2,f
final,feng2,eng
initial,ying2,y
final,ying2,ing
final,e1,e
initial,yu2,y
final,yu2,u
initial,feng4,f
final,feng4,eng
initial,cheng2,ch
final,cheng2,eng
final,e1,e
initial,yu2,y
final,yu2,u
initial,qu3,q
final,qu3,u
initial,rong2,r
final,rong2,ong
final,ai1,ai
final,ai1,ai
initial,fu4,f
final,fu4,u
initial,mu3,m
final,mu3,u
final,ai1,ai
final,ai1,ai
initial,yu4,y
final,yu4,u
initial,jue2,j
final,jue2,ue
final,ai1,ai
initial,bing1,b
final,bing1,ing
initial,bi4,b
final,bi4,i
initial,sheng4,sh
final,sheng4,eng
final,ai1,ai
final,er2,er
initial,bu4,b
final,bu4,u
initial,shang1,sh
final,shang1,ang
final,ai1,ai
initial,gan3,g
final,gan3,an
initial,tian1,t
final,tian1,ian
initial,di4,d
final,di4,i
final,ai1,ai
initial,gan3,g
final,gan3,an
initial,wan2,w
final,wan2,an
initial,yan4,y
final,yan4,an
final,ai1,ai
initial,gan3,g
final,gan3,an
initial,zhong1,zh
final,zhong1,ong
initial,nian2,n
final,nian2,ian
final,ai1,ai
initial,gao4,g
final,gao4,ao
initial,bin1,b
final,bin1,in
initial,fu2,f
final,fu2,u
final,ai1,ai
initial,hong2,h
final,hong2,ong
initial,bian4,b
final,bian4,ian
initial,di4,d
final,di4,i
final,ai1,ai
initial,hong2,h
final,hong2,ong
initial,bian4,b
final,bian4,ian
initial,ye3,y
final,ye3,e
final,ai1,ai
initial,hui3,h
final,hui3,ui
initial,gu3,g
final,gu3,u
initial,li4,l
final,li4,i
final,ai1,ai
initial,hui3,h
final,hui3,ui
initial,ji1,j
final,ji1,i
initial,li4,l
final,li4,i
final,ai1,ai
initial,li2,l
final,li2,i
initial,zheng1,zh
final,zheng1,eng
initial,shi2,sh
final,shi2,i
final,ai1,ai
initial,sheng1,sh
final,sheng1,eng
initial,tan4,t
final,tan4,an
initial,qi4,q
final,qi4,i
final,ai1,ai
initial,si1,s
final,si1,i
initial,hao2,h
final,hao2,ao
initial,zhu2,zh
final,zhu2,u
final,ai1,ai
initial,si1,s
final,si1,i
initial,ru2,r
final,ru2,u
initial,chao2,ch
final,chao2,ao
final,ai1,ai
initial,tian1,t
final,tian1,ian
initial,jiao4,j
final,jiao4,iao
initial,di4,d
final,di4,i
final,ai1,ai
initial,tong4,t
final,tong4,ong
initial,yu4,y
final,yu4,u
initial,jue2,j
final,jue2,ue
final,ai1,ai
initial,sheng1,sh
final,sheng1,eng
initial,tan4,t
final,tan4,an
initial,qi4,q
final,qi4,i
final,ai2,ai
initial,dong4,d
final,dong4,ong
initial,shou4,sh
final,shou4,ou
final,e4,e
final,ai1,ai
initial,feng1,f
final,feng1,eng
initial,ji1,j
final,ji1,i
initial,feng4,f
final,feng4,eng
final,ai1,ai
initial,ji,j
final,ji,i
final,ai1,ai
initial,hu4,h
final,hu4,u
final,ai1,ai
initial,jian1,j
final,jian1,ian
initial,bing4,b
final,bing4,ing
initial,zu2,z
final,zu2,u
final,ai1,ai
initial,jian1,j
final,jian1,ian
initial,ca1,c
final,ca1,a
initial,bang3,b
final,bang3,ang
final,ai1,ai
initial,jian1,j
final,jian1,ian
initial,ca1,c
final,ca1,a
initial,bei4,b
final,bei4,ei
final,ai1,ai
initial,jian1,j
final,jian1,ian
initial,ca1,c
final,ca1,a
initial,lian3,l
final,lian3,ian
final,ai1,ai
initial,jian1,j
final,jian1,ian
initial,da1,d
final,da1,a
initial,bei4,b
final,bei4,ei
final,ai1,ai
initial,jian1,j
final,jian1,ian
initial,die2,d
final,die2,ie
initial,bei4,b
final,bei4,ei
final,ai1,ai
initial,jian1,j
final,jian1,ian
initial,die2,d
final,die2,ie
initial,bei4,b
final,bei4,ei
final,ai1,ai
initial,men2,m
final,men2,en
final,ai1,ai
initial,hu4,h
final,hu4,u
final,ai1,ai
initial,men2,m
final,men2,en
initial,zhu2,zh
final,zhu2,u
initial,hu4,h
final,hu4,u
final,ai1,ai
initial,san1,s
final,san1,an
initial,ding3,d
final,ding3,ing
initial,wu3,w
final,wu3,u
final,ai1,ai
initial,shan1,sh
final,shan1,an
initial,se4,s
final,se4,e
initial,hai3,h
final,hai3,ai
final,ai1,ai
initial,feng1,f
final,feng1,eng
initial,qi1,q
final,qi1,i
initial,feng4,f
final,feng4,eng
final,ai1,ai
initial,san1,s
final,san1,an
initial,ding3,d
final,ding3,ing
initial,si4,s
final,si4,i
final,ai1,ai
initial,san1,s
final,san1,an
initial,ding3,d
final,ding3,ing
initial,wu3,w
final,wu3,u
final,ai4,ai
initial,sheng1,sh
final,sheng1,eng
initial,tan4,t
final,tan4,an
initial,qi4,q
final,qi4,i
final,ai3,ai
initial,ren2,r
final,ren2,en
initial,guan1,g
final,guan1,uan
